Transaction_ID,Agent_ID,Agent_Type,Operator_ID,Operator_Type,Sender_Name,Sender_Country,Sender_State,Sender_District,Sender_Occupation,Sender_Mode_Txn,Sender_Affiliation,Receiver_Name,Receiver_Country,Receiver_State,Receiver_District,Receiver_Occupation,Receiver_Affiliation,Receiver_Mode_Txn,Date_Of_Txn,In_Working_Hours,Amount,Is_Fraud
TR13,AGNT1,Send,OPR1,Employee,Gavyn Mccarty,USA,California,Sacramento,I.T Professional,Cash,Customer,Jesus Hays,Brazil,Bahia,Jequie,Farmer,New User,Wallet,11/1/2016,Yes,2185,0
TR14,AGNT6,Both,OPR34,Employee,Ray Thompson,USA,California,Los Angeles,Agent,Bank Account,New User,Jaylee Boyle,Mexico,Baja California,Baja California,Farmer,New User,Cash,22-01-2016,No,5363,0
TR15,AGNT8,Both,OPR42,Owner,Trenton Armstrong,USA,Utah,Emery,Teacher,Credit Card,Customer,Luna Bonner,Mexico,Baja California,Baja California,Broker,New User,Bank Account,5/1/2016,No,3165,0
TR16,AGNT5,Send,OPR31,Employee,Heath Holt,USA,Oregon,Jackson,Broker,Cash,New User,Jack Cotton,Brazil,Bahia,Jequie,Farmer,New User,Wallet,23-01-2016,Yes,1783,0
TR17,AGNT6,Both,OPR36,Admin,Deandre Ingram,USA,California,Los Angeles,Teacher,Credit Card,New User,Roland Sweeney,Brazil,Acre,Bujari,Accountant,Employee,Prepaid Card,25-01-2016,Yes,4690,0
TR18,AGNT10,Both,OPR3,Employee,Max Shaw,USA,Oregon,Lane,I.T Professional,Cash,Employee,Ayanna Sawyer,Mexico,Durango,Durango,Grocer,New User,Wallet,13-01-2016,Yes,1407,0
TR19,AGNT8,Both,OPR42,Owner,Deangelo Rush,USA,Utah,Emery,Teacher,Credit Card,Customer,Kaya Morrison,Brazil,Acre,Bujari,Consultant,Employee,Cash,11/1/2016,Yes,4081,0
TR20,AGNT5,Send,OPR30,Employee,Liv Taylor,USA,Oregon,Jackson,Accountant,Bank Account,Employee,Khloe Hodges,Brazil,Acre,Xapuri,Consultant,Customer,Prepaid Card,9/1/2016,Yes,2223,0
TR21,AGNT1,Send,OPR2,Admin,Jayde Lamb,USA,California,Sacramento,Teacher,Credit Card,Customer,Pablo Rice,Brazil,Bahia,Valenca,Retailer,Employee,Prepaid Card,1/1/2016,No,5902,0
TR22,AGNT3,Send,OPR16,Employee,Briella Hebert,USA,Utah,Cache,Agent,Debit Card,Customer,Jaylene Holmes,Colombia,Antioquia,Antioquia,Retailer,Customer,Wallet,15-01-2016,Yes,4145,0
TR23,AGNT10,Both,OPR3,Employee,Kasen Juarez,USA,Oregon,Lane,Farmer,Credit Card,Customer,Elaine Tran,Brazil,Bahia,Valenca,Broker,Customer,Wallet,23-01-2016,Yes,5521,0
TR24,AGNT10,Both,OPR3,Employee,Jay Garza,USA,Oregon,Lane,Accountant,Wallet,Customer,Bella Davenport,Brazil,Bahia,Valenca,Consultant,Customer,Cash,19-01-2016,No,5406,0
TR25,AGNT6,Both,OPR32,Employee,Riley Ortiz,USA,California,Los Angeles,Retailer,Debit Card,Customer,Pedro Osborn,Colombia,Bolivar,Bolivar,Grocer,New User,Bank Account,9/1/2016,Yes,3991,0
TR26,AGNT9,Both,OPR43,Admin,Karly Carey,USA,Arizona,Pima,Agent,Cheque,Employee,Cailyn Bolton,Mexico,Durango,Durango,I.T Professional,Employee,Prepaid Card,30-01-2016,Yes,3790,0
TR27,AGNT8,Both,OPR42,Owner,Madilyn Fisher,USA,Utah,Emery,Consultant,Credit Card,New User,Anaya Olsen,Colombia,Boyaca,Boyaca,Retailer,New User,Cash,12/1/2016,Yes,2745,0
TR28,AGNT8,Both,OPR42,Owner,Lillianna Read,USA,Utah,Emery,Teacher,Cash,Customer,Megan Guzman,Brazil,Acre,Xapuri,Banker,Employee,Bank Account,16-01-2016,Yes,1290,0
TR29,AGNT6,Both,OPR38,Employee,Elisha Sandoval,USA,California,Los Angeles,I.T Professional,Bank Account,New User,Adam Lee,Colombia,Bolivar,Bolivar,Broker,New User,Wallet,27-01-2016,Yes,1470,0
TR30,AGNT10,Both,OPR3,Employee,Laurel Fernandez,USA,Oregon,Lane,Grocer,Cheque,Customer,Addyson Joseph,Brazil,Acre,Bujari,Agent,Customer,Prepaid Card,8/1/2016,No,4266,0
TR31,AGNT10,Both,OPR3,Employee,Grayson Middleton,USA,Oregon,Lane,Grocer,Credit Card,New User,Londyn Mcfarland,Mexico,Durango,Durango,Consultant,Customer,Wallet,16-01-2016,Yes,5185,0
TR32,AGNT9,Both,OPR45,Employee,Victoria Kirby,USA,Arizona,Pima,Farmer,Credit Card,Employee,Mariah Murphy,Colombia,Boyaca,Boyaca,Farmer,New User,Prepaid Card,11/1/2016,Yes,2038,0
TR33,AGNT2,Send,OPR10,Employee,Daniela Fisher,USA,Nevada,Eureka,Agent,Cheque,Employee,Carlos Giles,Colombia,Antioquia,Antioquia,Grocer,New User,Bank Account,30-01-2016,No,1549,0
TR34,AGNT7,Both,OPR40,Employee,Summer Randall,USA,Nevada,Fallon,Banker,Credit Card,Employee,Kai Shaw,Mexico,Durango,Durango,Consultant,Customer,Bank Account,31-01-2016,Yes,5517,0
TR35,AGNT6,Both,OPR37,Employee,Simon Pollard,USA,California,Los Angeles,Agent,Cheque,Customer,Brooke Gallagher,Mexico,Durango,Durango,Accountant,New User,Cash,12/1/2016,Yes,4736,0
TR36,AGNT8,Both,OPR42,Owner,Jake Dominguez,USA,Utah,Emery,I.T Professional,Wallet,Customer,Kyler Lawson,Colombia,Bolivar,Bolivar,Banker,Employee,Cash,11/1/2016,Yes,210,0
TR37,AGNT7,Both,OPR41,Admin,Raina Hudson,USA,Nevada,Fallon,Teacher,Cheque,New User,Killian Weeks,Brazil,Acre,Bujari,Farmer,Customer,Bank Account,18-01-2016,Yes,2223,0
TR38,AGNT9,Both,OPR44,Employee,Odin Cochran,USA,Arizona,Pima,Broker,Credit Card,Customer,Myla Cline,Mexico,Durango,Durango,Agent,Employee,Wallet,20-01-2016,Yes,331,1
TR39,AGNT2,Send,OPR12,Employee,Esmeralda Bruce,USA,Nevada,Eureka,Accountant,Cash,Employee,Mohammed Barlow,Brazil,Bahia,Jequie,Farmer,Employee,Cash,11/1/2016,Yes,3155,1
TR40,AGNT10,Both,OPR4,Admin,Margaret Shields,USA,Oregon,Lane,Broker,Debit Card,Customer,Mariana Mitchell,Mexico,Campeche,Campeche,Farmer,New User,Wallet,2/1/2016,Yes,2348,0
TR41,AGNT5,Send,OPR30,Employee,Soren Stone,USA,Oregon,Jackson,Agent,Debit Card,Employee,Caden Carson,Colombia,Bolivar,Bolivar,Consultant,Customer,Prepaid Card,12/1/2016,No,3734,0
TR42,AGNT1,Send,OPR2,Admin,Yosef Hooper,USA,California,Sacramento,Agent,Cash,New User,Ally Valenzuela,Mexico,Durango,Durango,I.T Professional,New User,Bank Account,2/1/2016,Yes,2773,0
TR43,AGNT7,Both,OPR41,Admin,Alexia Estrada,USA,Nevada,Fallon,Agent,Cash,Employee,Shiloh Hodge,Brazil,Acre,Bujari,I.T Professional,Employee,Wallet,15-01-2016,Yes,347,0
TR44,AGNT1,Send,OPR1,Employee,Giada Wyatt,USA,California,Sacramento,Grocer,Cash,New User,Gracie Doyle,Mexico,Durango,Durango,Agent,Customer,Cash,12/1/2016,Yes,1541,0
TR45,AGNT7,Both,OPR41,Admin,Nora Atkins,USA,Nevada,Fallon,Banker,Wallet,New User,Irene Sanford,Colombia,Antioquia,Antioquia,Grocer,Customer,Prepaid Card,3/1/2016,Yes,2134,0
TR46,AGNT7,Both,OPR40,Employee,Jessie Church,USA,Nevada,Fallon,Consultant,Cash,Customer,Andy Sanford,Brazil,Bahia,Valenca,I.T Professional,Customer,Cash,29-01-2016,Yes,3402,0
TR47,AGNT3,Send,OPR15,Admin,Maximiliano Vinson,USA,Utah,Cache,Accountant,Credit Card,New User,Norah Roman,Brazil,Acre,Xapuri,I.T Professional,Customer,Cash,1/1/2016,No,247,0
TR48,AGNT9,Both,OPR44,Employee,Liv Powell,USA,Arizona,Pima,Broker,Wallet,Customer,Richard Chase,Mexico,Durango,Durango,Consultant,Employee,Prepaid Card,19-01-2016,Yes,3701,0
TR49,AGNT6,Both,OPR35,Employee,Emilio Gallagher,USA,California,Los Angeles,Accountant,Wallet,Employee,Zaria Mcknight,Mexico,Durango,Durango,Banker,Employee,Wallet,29-01-2016,Yes,3077,0
TR50,AGNT2,Send,OPR10,Employee,Lainey Lowe,USA,Nevada,Eureka,I.T Professional,Debit Card,New User,Akira Ochoa,Brazil,Bahia,Jequie,Accountant,New User,Cash,30-01-2016,Yes,3782,0
TR51,AGNT4,Both,OPR19,Employee,Jaydon Larson,USA,Arizona,Apache,Broker,Cheque,Customer,April Berry,Colombia,Bolivar,Bolivar,Agent,Employee,Prepaid Card,1/1/2016,Yes,5162,0
TR52,AGNT9,Both,OPR44,Employee,Jaylah Velasquez,USA,Arizona,Pima,Consultant,Bank Account,Customer,Davis Mccormick,Brazil,Bahia,Valenca,Accountant,New User,Prepaid Card,31-01-2016,Yes,506,1
TR53,AGNT3,Send,OPR16,Employee,April Donaldson,USA,Utah,Cache,Farmer,Cheque,Employee,Abdullah Mcneil,Colombia,Boyaca,Boyaca,Consultant,Customer,Prepaid Card,18-01-2016,Yes,2832,0
TR54,AGNT10,Both,OPR3,Employee,Caleb Raymond,USA,Oregon,Lane,Consultant,Wallet,New User,Douglas Kim,Colombia,Antioquia,Antioquia,I.T Professional,New User,Bank Account,28-01-2016,No,5346,0
TR55,AGNT9,Both,OPR44,Employee,Preston Ray,USA,Arizona,Pima,Accountant,Cheque,New User,Griffin Schultz,Brazil,Bahia,Jequie,Teacher,Employee,Bank Account,12/1/2016,Yes,5869,0
TR56,AGNT5,Send,OPR30,Employee,Talon Chen,USA,Oregon,Jackson,Banker,Debit Card,Employee,Sky Nicholson,Mexico,Campeche,Campeche,Teacher,New User,Prepaid Card,27-01-2016,Yes,1994,0
TR57,AGNT4,Both,OPR21,Employee,Jaylene Gill,USA,Arizona,Apache,Accountant,Credit Card,New User,Olive Wong,Mexico,Baja California,Baja California,Retailer,Customer,Prepaid Card,17-01-2016,Yes,5291,0
TR58,AGNT9,Both,OPR44,Employee,Michael Wilson,USA,Arizona,Pima,Banker,Bank Account,Customer,Scarlet Bass,Colombia,Antioquia,Antioquia,Banker,Customer,Bank Account,6/1/2016,No,5021,1
TR59,AGNT3,Send,OPR15,Admin,Rocco Roth,USA,Utah,Cache,Retailer,Cheque,New User,Maliah Valdez,Brazil,Acre,Xapuri,I.T Professional,Customer,Prepaid Card,28-01-2016,Yes,5266,0
TR60,AGNT1,Send,OPR1,Employee,Justice Ortega,USA,California,Sacramento,I.T Professional,Cash,Employee,Lathan Cherry,Mexico,Baja California,Baja California,Farmer,Customer,Bank Account,27-01-2016,Yes,5559,0
TR61,AGNT8,Both,OPR42,Owner,Edith Roberts,USA,Utah,Emery,Banker,Bank Account,New User,Hector Mayo,Brazil,Bahia,Jequie,Grocer,Customer,Prepaid Card,27-01-2016,Yes,5948,0
TR62,AGNT6,Both,OPR35,Employee,Jonathon Fox,USA,California,Los Angeles,Consultant,Cash,Customer,Alessandro Merritt,Colombia,Boyaca,Boyaca,Accountant,Customer,Wallet,2/1/2016,Yes,5113,1
TR63,AGNT9,Both,OPR43,Admin,Donovan William,USA,Arizona,Pima,Banker,Cash,New User,Thaddeus Chambers,Brazil,Acre,Xapuri,Farmer,Customer,Cash,23-01-2016,Yes,5785,0
TR64,AGNT6,Both,OPR36,Admin,Kaelynn Paul,USA,California,Los Angeles,Broker,Credit Card,Customer,Kyndall Buckner,Brazil,Acre,Bujari,Farmer,New User,Cash,5/1/2016,Yes,348,0
TR65,AGNT9,Both,OPR45,Employee,Michael Wilson,USA,Arizona,Pima,Banker,Wallet,Customer,Giovanna Perkins,Brazil,Acre,Bujari,I.T Professional,Customer,Cash,26-01-2016,No,4791,1
TR66,AGNT3,Send,OPR16,Employee,Alex Wheeler,USA,Utah,Cache,Grocer,Cash,Employee,Raphael Mathews,Mexico,Durango,Durango,I.T Professional,Employee,Prepaid Card,26-01-2016,Yes,2841,0
TR67,AGNT1,Send,OPR1,Employee,Kyleigh Ramirez,USA,California,Sacramento,Accountant,Wallet,New User,Celia Gonzalez,Brazil,Bahia,Valenca,Farmer,Customer,Wallet,2/1/2016,Yes,1108,0
TR68,AGNT8,Both,OPR42,Owner,Sara Estes,USA,Utah,Emery,Teacher,Cash,New User,Judith Woodard,Mexico,Baja California,Baja California,Grocer,New User,Prepaid Card,1/1/2016,Yes,5533,0
TR69,AGNT7,Both,OPR39,Employee,Emilee Holman,USA,Nevada,Fallon,Grocer,Credit Card,New User,Ronin Fuentes,Colombia,Bolivar,Bolivar,Accountant,Employee,Bank Account,12/1/2016,No,5484,1
TR70,AGNT1,Send,OPR2,Admin,Ulises Santana,USA,California,Sacramento,I.T Professional,Bank Account,Customer,Daniel Mccarty,Brazil,Acre,Xapuri,Retailer,Customer,Wallet,18-01-2016,Yes,353,0
TR71,AGNT1,Send,OPR1,Employee,Macey Carson,USA,California,Sacramento,Agent,Cheque,Employee,Cesar Pratt,Colombia,Antioquia,Antioquia,Grocer,Customer,Wallet,14-01-2016,Yes,3912,0
TR72,AGNT3,Send,OPR16,Employee,Lillianna Key,USA,Utah,Cache,I.T Professional,Bank Account,Employee,Osvaldo King,Colombia,Antioquia,Antioquia,Agent,Customer,Wallet,9/1/2016,Yes,2782,0
TR73,AGNT9,Both,OPR43,Admin,Javion Snyder,USA,Arizona,Pima,Banker,Cheque,Customer,Amare Jimenez,Brazil,Acre,Bujari,Accountant,Employee,Wallet,7/1/2016,Yes,736,0
TR74,AGNT3,Send,OPR16,Employee,Deborah Mccoy,USA,Utah,Cache,Consultant,Cheque,New User,Julieta Sherman,Mexico,Campeche,Campeche,Teacher,Employee,Wallet,17-01-2016,No,5962,0
TR75,AGNT3,Send,OPR16,Employee,Nicholas Crosby,USA,Utah,Cache,Consultant,Bank Account,New User,Benjamin Herman,Mexico,Durango,Durango,Consultant,Customer,Bank Account,12/1/2016,Yes,4869,0
TR76,AGNT10,Both,OPR4,Admin,Kristen Castro,USA,Oregon,Lane,Consultant,Bank Account,Employee,Makenzie Jefferson,Colombia,Bolivar,Bolivar,Grocer,Employee,Wallet,22-01-2016,No,2908,0
TR77,AGNT2,Send,OPR6,Employee,Deshawn Mcintyre,USA,Nevada,Eureka,Agent,Cash,New User,Sebastian Sellers,Brazil,Acre,Bujari,Retailer,Employee,Prepaid Card,22-01-2016,Yes,1225,0
TR78,AGNT3,Send,OPR17,Employee,Jennifer Wheeler,USA,Utah,Cache,Grocer,Debit Card,Employee,Salvador Farrell,Colombia,Boyaca,Boyaca,Accountant,New User,Cash,24-01-2016,Yes,2737,0
TR79,AGNT9,Both,OPR43,Admin,Casen Dunlap,USA,Arizona,Pima,Teacher,Bank Account,Customer,Kelly Bullock,Mexico,Campeche,Campeche,Agent,Customer,Bank Account,12/1/2016,Yes,3307,0
TR80,AGNT4,Both,OPR21,Employee,Jeffrey Greer,USA,Arizona,Apache,Farmer,Wallet,New User,Carter Price,Brazil,Acre,Bujari,Agent,New User,Bank Account,8/1/2016,Yes,2287,0
TR81,AGNT8,Both,OPR42,Owner,Elias Pope,USA,Utah,Emery,Grocer,Wallet,Customer,Esmeralda Duncan,Mexico,Baja California,Baja California,Consultant,Customer,Cash,9/1/2016,No,1173,0
TR82,AGNT5,Send,OPR24,Employee,Maximilian Douglas,USA,Oregon,Jackson,Grocer,Cash,Customer,Kylah Hayes,Colombia,Bolivar,Bolivar,Broker,New User,Cash,23-01-2016,Yes,2171,0
TR83,AGNT2,Send,OPR5,Admin,Eli Mason,USA,Nevada,Eureka,Agent,Debit Card,Customer,Tobias Sosa,Mexico,Durango,Durango,Banker,New User,Bank Account,3/1/2016,Yes,5120,0
TR84,AGNT5,Send,OPR26,Employee,Gabrielle Serrano,USA,Oregon,Jackson,Banker,Wallet,Employee,Jaime Lara,Brazil,Acre,Bujari,Farmer,New User,Bank Account,5/1/2016,Yes,5795,0
TR85,AGNT3,Send,OPR16,Employee,Amy Short,USA,Utah,Cache,Accountant,Credit Card,New User,Leonardo Anderson,Colombia,Boyaca,Boyaca,Farmer,Employee,Cash,23-01-2016,Yes,2134,0
TR86,AGNT5,Send,OPR25,Employee,Brodie Beck,USA,Oregon,Jackson,Broker,Debit Card,Customer,Tucker Potter,Mexico,Durango,Durango,Accountant,Customer,Prepaid Card,2/1/2016,No,5839,0
TR87,AGNT8,Both,OPR42,Owner,Cameron Joseph,USA,Utah,Emery,Agent,Wallet,New User,Ali Benson,Colombia,Boyaca,Boyaca,I.T Professional,Employee,Wallet,6/1/2016,Yes,2481,1
TR88,AGNT9,Both,OPR45,Employee,Ayleen Chen,USA,Arizona,Pima,Farmer,Bank Account,Employee,Jessie Saunders,Mexico,Baja California,Baja California,Grocer,Employee,Prepaid Card,21-01-2016,Yes,3397,0
TR89,AGNT5,Send,OPR28,Admin,Braelyn Yates,USA,Oregon,Jackson,Farmer,Bank Account,New User,Shawn Dale,Brazil,Acre,Bujari,Retailer,New User,Cash,3/1/2016,Yes,875,0
TR90,AGNT1,Send,OPR2,Admin,Jaiden Bean,USA,California,Sacramento,I.T Professional,Credit Card,Customer,Ramiro Fry,Colombia,Bolivar,Bolivar,Retailer,Customer,Prepaid Card,20-01-2016,Yes,6000,0
TR91,AGNT4,Both,OPR19,Employee,Kiana Bonner,USA,Arizona,Apache,Agent,Debit Card,Customer,Emilio Richmond,Mexico,Durango,Durango,Retailer,Customer,Prepaid Card,3/1/2016,Yes,211,0
TR92,AGNT7,Both,OPR39,Employee,Maliyah Graves,USA,Nevada,Fallon,Agent,Cheque,Customer,Amaya Calhoun,Mexico,Baja California,Baja California,Accountant,New User,Wallet,24-01-2016,Yes,4923,0
TR93,AGNT1,Send,OPR2,Admin,Mohammad Hammond,USA,California,Sacramento,Retailer,Wallet,Employee,Macey Torres,Brazil,Acre,Xapuri,Teacher,Employee,Cash,19-01-2016,Yes,1145,0
TR94,AGNT10,Both,OPR3,Employee,Mohamed Chan,USA,Oregon,Lane,Teacher,Wallet,Employee,Justus Gilbert,Mexico,Campeche,Campeche,Farmer,Employee,Prepaid Card,26-01-2016,No,3978,0
TR95,AGNT10,Both,OPR4,Admin,Gabriel Frederick,USA,Oregon,Lane,Agent,Cash,Employee,Nikolas Winters,Brazil,Acre,Bujari,Consultant,Employee,Wallet,31-01-2016,Yes,842,0
TR96,AGNT1,Send,OPR1,Employee,Lawrence Watson,USA,California,Sacramento,Grocer,Bank Account,Customer,Brecken Bass,Brazil,Bahia,Valenca,Farmer,New User,Prepaid Card,3/1/2016,Yes,5655,0
TR97,AGNT9,Both,OPR43,Admin,Mckayla Franklin,USA,Arizona,Pima,Farmer,Credit Card,Customer,Alyson Mccullough,Brazil,Bahia,Jequie,Grocer,Customer,Cash,10/1/2016,Yes,5493,0
TR98,AGNT7,Both,OPR39,Employee,Jamal Holcomb,USA,Nevada,Fallon,Teacher,Debit Card,Customer,Malcolm Livingston,Mexico,Campeche,Campeche,Broker,Customer,Wallet,8/1/2016,Yes,1997,0
TR99,AGNT1,Send,OPR1,Employee,Keyla Frost,USA,California,Sacramento,I.T Professional,Debit Card,Employee,Kyla Hahn,Brazil,Acre,Bujari,Grocer,Customer,Wallet,24-01-2016,No,4282,0
TR100,AGNT2,Send,OPR9,Employee,Ignacio Hensley,USA,Nevada,Eureka,Accountant,Debit Card,Customer,Deangelo Michael,Colombia,Antioquia,Antioquia,Agent,New User,Wallet,6/1/2016,Yes,2830,0
TR101,AGNT9,Both,OPR44,Employee,Francis Page,USA,Arizona,Pima,Agent,Cheque,New User,Abdiel Schneider,Colombia,Antioquia,Antioquia,Accountant,Customer,Prepaid Card,5/1/2016,Yes,5892,0
TR102,AGNT8,Both,OPR42,Owner,Cayden Moreno,USA,Utah,Emery,Accountant,Cheque,Employee,Anderson Garner,Colombia,Boyaca,Boyaca,Teacher,New User,Prepaid Card,12/1/2016,No,1428,0
TR103,AGNT8,Both,OPR42,Owner,Evangeline Stuart,USA,Utah,Emery,Agent,Bank Account,New User,Jayda Cabrera,Mexico,Baja California,Baja California,Farmer,Employee,Prepaid Card,31-01-2016,Yes,1055,0
TR104,AGNT9,Both,OPR43,Admin,Kailee Glass,USA,Arizona,Pima,Grocer,Bank Account,Employee,Miguel Olsen,Brazil,Acre,Xapuri,Consultant,Customer,Cash,27-01-2016,Yes,4362,0
TR105,AGNT2,Send,OPR5,Admin,Grayson Fitzpatrick,USA,Nevada,Eureka,Retailer,Cheque,Customer,Leonard Walter,Colombia,Boyaca,Boyaca,Retailer,Employee,Bank Account,10/1/2016,No,5467,0
TR106,AGNT9,Both,OPR44,Employee,Alejandra Whitley,USA,Arizona,Pima,Grocer,Wallet,Employee,Adrienne Osborne,Brazil,Bahia,Jequie,Banker,Employee,Wallet,9/1/2016,Yes,4450,0
TR107,AGNT8,Both,OPR42,Owner,Dean Whitfield,USA,Utah,Emery,Accountant,Bank Account,Customer,Jordynn Molina,Brazil,Bahia,Jequie,Teacher,New User,Bank Account,2/1/2016,Yes,477,0
TR108,AGNT4,Both,OPR21,Employee,Phillip Diaz,USA,Arizona,Apache,I.T Professional,Cash,Employee,Avah Mcleod,Mexico,Baja California,Baja California,I.T Professional,Customer,Cash,16-01-2016,Yes,2155,0
TR109,AGNT3,Send,OPR16,Employee,Jagger Wagner,USA,Utah,Cache,Accountant,Cash,Customer,Reginald Mccall,Colombia,Antioquia,Antioquia,Accountant,New User,Cash,31-01-2016,Yes,1125,1
TR110,AGNT9,Both,OPR43,Admin,Lillianna Cameron,USA,Arizona,Pima,Banker,Debit Card,Employee,Nicolas Randolph,Brazil,Bahia,Jequie,Farmer,Employee,Bank Account,10/1/2016,Yes,5047,0
TR111,AGNT4,Both,OPR18,Admin,Jimena Haley,USA,Arizona,Apache,Farmer,Cheque,Employee,Arjun Jacobson,Colombia,Bolivar,Bolivar,Teacher,Employee,Bank Account,10/1/2016,Yes,4252,0
TR112,AGNT7,Both,OPR39,Employee,Helen Spears,USA,Nevada,Fallon,Farmer,Debit Card,New User,Jennifer Melton,Brazil,Acre,Bujari,Retailer,Customer,Bank Account,2/1/2016,Yes,4375,0
TR113,AGNT2,Send,OPR12,Employee,Travis Buckner,USA,Nevada,Eureka,I.T Professional,Debit Card,Employee,Frankie Boone,Brazil,Acre,Bujari,Consultant,Customer,Cash,11/1/2016,Yes,298,0
TR114,AGNT3,Send,OPR15,Admin,Phoebe Dalton,USA,Utah,Cache,Consultant,Credit Card,New User,Manuel Vargas,Colombia,Bolivar,Bolivar,Consultant,Customer,Cash,22-01-2016,No,5909,0
TR115,AGNT6,Both,OPR38,Employee,Issac Gates,USA,California,Los Angeles,Grocer,Bank Account,Customer,Dominique Harvey,Brazil,Acre,Bujari,Agent,Customer,Prepaid Card,5/1/2016,No,5761,0
TR116,AGNT4,Both,OPR20,Employee,Cheyanne Rios,USA,Arizona,Apache,I.T Professional,Debit Card,New User,Maritza Love,Brazil,Acre,Xapuri,I.T Professional,Customer,Cash,23-01-2016,Yes,5873,0
TR117,AGNT1,Send,OPR2,Admin,Kamden Rosa,USA,California,Sacramento,Accountant,Bank Account,Customer,Noemi Fisher,Colombia,Antioquia,Antioquia,I.T Professional,Customer,Bank Account,25-01-2016,Yes,5176,0
TR118,AGNT6,Both,OPR33,Employee,Brielle Downs,USA,California,Los Angeles,Farmer,Cash,New User,Joshua Lamb,Colombia,Antioquia,Antioquia,Broker,Employee,Wallet,13-01-2016,Yes,4813,0
TR119,AGNT6,Both,OPR38,Employee,Ali Schwartz,USA,California,Los Angeles,Broker,Debit Card,Employee,Madisyn Moore,Colombia,Boyaca,Boyaca,Accountant,Employee,Bank Account,11/1/2016,Yes,3529,0
TR120,AGNT6,Both,OPR37,Employee,Moses Walls,USA,California,Los Angeles,Farmer,Cheque,Employee,Nico Henderson,Brazil,Acre,Bujari,Banker,Employee,Prepaid Card,9/1/2016,Yes,4139,0
TR121,AGNT8,Both,OPR42,Owner,Blakely Chen,USA,Utah,Emery,Grocer,Cash,New User,Sanaa Hess,Brazil,Bahia,Jequie,Grocer,Customer,Bank Account,1/1/2016,No,256,0
TR122,AGNT3,Send,OPR17,Employee,Lesly Harrison,USA,Utah,Cache,Teacher,Cash,Customer,Avery Patterson,Colombia,Boyaca,Boyaca,Broker,Employee,Cash,15-01-2016,Yes,2924,0
TR123,AGNT3,Send,OPR15,Admin,Tyler Lindsey,USA,Utah,Cache,Teacher,Bank Account,New User,Amina Stafford,Brazil,Acre,Bujari,Accountant,Employee,Bank Account,23-01-2016,Yes,4565,0
